EMP_ID,Overall_satisfaction_level,Satisfaction_over_Last_Evaluation,number_project,avg_montly_hours_in_Ofiice,Number_Of_Years_in_Company,Work_accident,promoted_In_Last_5_year?,Department ,salary,left
E14384,0.38,0.57,2,140,3,0,0,support,low,1
E14385,0.9,1,5,221,5,0,0,support,low,1
E14386,0.44,0.51,2,138,3,0,0,support,low,1
E14387,0.36,0.5,2,132,3,0,0,technical,low,1
E14388,0.31,0.84,7,133,5,0,0,technical,low,1
E14389,0.1,0.84,6,283,4,1,0,technical,low,1
E14390,0.42,0.48,2,129,3,0,0,management,low,1
E14391,0.74,1,4,249,5,0,0,IT,low,1
E14392,0.73,0.87,5,257,5,0,0,IT,low,1
E14393,0.09,0.96,6,245,4,0,0,IT,low,1
E14394,0.45,0.53,2,155,3,0,0,IT,low,1
E14395,0.11,0.8,6,256,4,0,0,IT,low,1
E14396,0.37,0.47,2,152,3,0,0,product_mng,low,1
E14397,0.84,0.99,4,267,5,0,0,product_mng,low,1
E14398,0.41,0.46,2,151,3,0,0,product_mng,low,1
E14399,0.76,0.92,4,239,5,0,0,product_mng,low,1
E14400,0.11,0.87,6,306,4,0,0,IT,low,1
E14401,0.84,0.88,4,263,5,1,0,marketing,low,1
E14402,0.39,0.5,2,147,3,0,0,marketing,low,1
E14403,0.11,0.91,6,278,4,0,0,marketing,low,1
E14404,0.45,0.56,2,154,3,0,0,marketing,low,1
E14405,0.37,0.52,2,143,3,0,0,marketing,low,1
E14406,0.4,0.52,2,155,3,0,0,marketing,low,1
E14407,0.39,0.48,2,160,3,0,0,sales,low,1
E14408,0.11,0.8,6,304,4,0,0,accounting,low,1
E14409,0.83,1,5,240,5,0,0,support,low,1
E14410,0.11,0.92,6,305,4,0,0,technical,low,1
E14411,0.39,0.5,2,136,3,0,0,management,low,1
E14412,0.45,0.45,2,132,3,0,0,marketing,low,1
E14413,0.1,0.95,7,301,4,0,0,marketing,low,1
E14414,0.9,0.98,5,243,6,0,0,marketing,low,1
E14415,0.45,0.51,2,147,3,0,0,sales,low,1
E14416,0.79,0.89,5,239,5,0,0,sales,low,1
E14417,0.9,0.99,5,260,5,0,0,sales,low,1
E14418,0.11,0.84,7,296,4,0,0,sales,low,1
E14419,0.43,0.55,2,129,3,0,0,sales,low,1
E14420,0.31,0.54,5,132,5,0,0,sales,low,1
E14421,0.32,0.5,2,135,5,0,0,sales,low,1
E14422,0.45,0.57,2,158,3,0,0,sales,low,1
E14423,0.81,0.99,4,259,5,0,0,sales,low,1
E14424,0.41,0.46,2,160,3,0,1,sales,low,1
E14425,0.11,0.78,7,278,4,0,0,sales,low,1
E14426,0.1,0.88,6,284,4,0,0,sales,low,1
E14427,0.7,0.53,2,274,4,0,0,sales,low,1
E14428,0.54,0.74,4,164,2,0,0,sales,low,1
E14429,0.41,0.48,2,148,3,0,0,sales,low,1
E14430,0.38,0.5,2,140,3,0,0,sales,medium,1
E14431,0.37,0.51,2,127,3,0,0,sales,medium,1
E14432,0.11,0.85,6,308,5,0,0,sales,medium,1
E14433,0.4,0.47,2,146,3,0,0,sales,medium,1
E14434,0.1,0.84,6,261,4,0,0,accounting,medium,1
E14435,0.89,0.99,5,257,5,0,0,accounting,medium,1
E14436,0.11,0.8,6,285,4,0,0,accounting,medium,1
E14437,0.36,0.55,2,141,3,0,0,hr,medium,1
E14438,0.4,0.46,2,127,3,0,0,hr,medium,1
E14439,0.09,0.85,6,297,4,0,0,hr,medium,1
E14440,0.4,0.46,2,143,3,0,0,hr,medium,1
E14441,0.37,0.55,2,152,3,0,0,technical,medium,1
E14442,0.44,0.51,2,156,3,0,0,technical,high,1
E14443,0.09,0.8,7,283,5,0,0,technical,low,1
E14444,0.92,0.87,4,226,6,1,0,technical,medium,1
E14445,0.74,0.91,4,232,5,0,0,technical,medium,1
E14446,0.09,0.82,6,249,4,0,0,technical,medium,1
E14447,0.89,0.95,4,275,5,0,0,technical,medium,1
E14448,0.09,0.8,6,304,4,0,0,technical,low,1
E14449,0.27,0.54,7,278,3,0,0,technical,low,1
E14450,0.1,0.91,6,287,4,0,0,technical,low,1
E14451,0.1,0.89,7,285,4,0,0,technical,low,1
E14452,0.77,0.94,5,226,6,0,0,support,low,1
E14453,0.9,0.82,5,259,5,0,0,support,low,1
E14454,0.39,0.5,2,135,3,0,0,support,low,1
E14455,0.76,1,5,219,5,0,0,support,low,1
E14456,0.1,0.93,6,256,4,0,0,support,low,1
E14457,0.87,0.9,5,254,6,0,0,support,low,1
E14458,0.38,0.5,2,153,3,0,0,support,low,1
E14459,0.77,0.99,5,228,5,0,0,support,low,1
E14460,0.78,0.87,4,228,5,0,0,support,low,1
E14461,0.44,0.5,2,128,3,0,0,support,low,1
E14462,0.38,0.52,2,153,3,0,0,support,low,1
E14463,0.43,0.46,2,156,3,0,0,technical,low,1
E14464,0.39,0.5,4,294,3,0,0,technical,low,1
E14465,0.88,1,5,219,5,0,0,technical,low,1
E14466,0.45,0.46,2,153,3,0,0,management,low,1
E14467,0.4,0.53,2,151,3,0,0,IT,low,1
E14468,0.36,0.51,2,155,3,0,0,IT,low,1
E14469,0.36,0.48,2,158,3,0,0,IT,low,1
E14470,0.9,0.98,5,245,5,0,0,IT,low,1
E14471,0.43,0.53,2,131,3,0,0,IT,low,1
E14472,0.89,0.87,5,225,5,0,0,product_mng,low,1
E14473,0.1,0.84,6,286,4,0,0,product_mng,low,1
E14474,0.37,0.5,2,135,3,0,0,product_mng,low,1
E14475,0.37,0.51,2,153,3,0,0,product_mng,low,1
E14476,0.87,0.9,5,252,5,0,0,IT,low,1
E14477,0.4,0.56,2,149,3,0,0,accounting,low,1
E14478,0.9,0.97,4,258,5,0,0,accounting,low,1
E14479,0.37,0.46,2,158,3,0,0,hr,low,1
E14480,0.44,0.54,2,149,3,0,0,hr,low,1
E14481,0.85,0.95,5,236,5,0,0,hr,low,1
E14482,0.78,0.98,5,239,6,0,0,marketing,low,1
E14483,0.42,0.47,2,159,3,0,0,marketing,low,1
E14484,0.92,0.99,5,255,6,0,0,sales,low,1
E14485,0.11,0.83,6,244,4,0,0,accounting,low,1
E14486,0.42,0.56,2,134,3,0,0,support,low,1
E14487,0.48,0.57,4,270,4,0,0,technical,low,1
E14488,0.83,0.85,4,255,5,0,0,management,low,1
E14489,0.4,0.53,2,151,3,0,0,marketing,low,1
E14490,0.43,0.45,2,135,3,0,0,marketing,low,1
E14491,0.43,0.53,2,146,3,0,0,marketing,low,1
E14492,0.1,0.97,7,254,4,0,0,sales,low,1
E14493,0.1,0.87,7,289,4,0,0,sales,low,1
E14494,0.37,0.46,2,156,3,0,0,sales,low,1
E14495,0.38,0.53,2,156,3,0,0,sales,low,1
E14496,0.4,0.5,2,128,3,0,0,sales,low,1
E14497,0.89,0.86,5,275,5,0,0,sales,low,1
E14498,0.45,0.46,2,155,3,0,0,sales,low,1
E14499,0.37,0.48,2,159,3,0,0,sales,low,1
E14500,0.46,0.49,2,148,3,0,0,sales,low,1
E14501,0.87,0.91,4,228,5,0,0,sales,low,1
E14502,0.11,0.84,6,298,4,0,0,sales,low,1
E14503,0.79,0.87,5,261,5,0,0,sales,low,1
E14504,0.79,0.92,5,254,6,0,0,sales,low,1
E14505,0.19,0.59,7,192,3,0,0,sales,low,1
E14506,0.87,0.98,4,248,5,0,0,sales,low,1
E14507,0.6,0.92,2,258,5,0,0,sales,low,1
E14508,0.44,0.45,2,156,3,0,0,sales,medium,1
E14509,0.11,0.81,6,266,4,1,0,sales,medium,1
E14510,0.42,0.54,2,156,3,0,0,sales,medium,1
E14511,0.88,0.88,5,232,5,1,0,accounting,medium,1
E14512,0.11,0.84,6,287,4,0,0,accounting,medium,1
E14513,0.46,0.46,2,154,3,0,0,accounting,medium,1
E14514,0.82,0.97,5,263,5,0,0,hr,medium,1
E14515,0.44,0.56,2,131,3,0,0,hr,medium,1
E14516,0.11,0.78,6,260,4,0,0,hr,medium,1
E14517,0.42,0.5,2,139,3,0,0,hr,medium,1
E14518,0.84,0.93,4,251,5,0,0,technical,medium,1
E14519,0.11,0.95,6,286,4,0,0,technical,medium,1
E14520,0.45,0.53,2,129,3,0,0,technical,high,1
E14521,0.38,0.56,2,156,3,0,0,technical,low,1
E14522,0.38,0.86,6,139,6,0,0,technical,medium,1
E14523,0.44,0.51,2,127,3,0,0,technical,medium,1
E14524,0.11,0.84,6,251,4,0,0,technical,medium,1
E14525,0.81,0.93,5,270,5,0,0,technical,medium,1
E14526,0.09,0.96,6,296,4,0,0,technical,low,1
E14527,0.11,0.9,6,254,4,0,0,technical,low,1
E14528,0.81,0.95,5,238,6,0,0,technical,low,1
E14529,0.1,0.97,6,267,4,1,0,support,low,1
E14530,0.74,0.89,5,229,6,0,0,support,low,1
E14531,0.09,0.78,6,254,4,0,0,support,low,1
E14532,0.82,0.81,4,233,4,1,0,support,low,1
E14533,0.1,0.98,6,268,4,0,0,support,low,1
E14534,0.27,0.56,3,301,3,0,0,support,low,1
E14535,0.83,0.92,5,267,6,0,0,support,low,1
E14536,0.1,0.93,6,289,4,1,0,support,low,1
E14537,0.38,0.47,2,144,3,0,0,support,low,1
E14538,0.4,0.56,2,148,3,0,0,support,low,1
E14539,0.11,0.83,6,306,4,0,0,support,low,1
E14540,0.11,0.79,6,292,4,0,1,technical,low,1
E14541,0.82,0.91,5,232,5,0,0,technical,low,1
E14542,0.36,0.48,2,137,3,0,0,technical,low,1
E14543,0.4,0.46,2,128,3,0,0,management,low,1
E14544,0.87,0.84,5,231,5,0,0,IT,low,1
E14545,0.41,0.49,2,146,3,0,0,IT,low,1
E14546,0.11,0.91,6,308,4,1,0,IT,low,1
E14547,0.1,0.93,6,253,4,0,0,IT,medium,1
E14548,0.38,0.51,2,146,3,0,0,IT,medium,1
E14549,0.39,0.55,2,156,3,0,0,product_mng,medium,1
E14550,0.4,0.52,2,147,3,0,0,product_mng,medium,1
E14551,0.45,0.48,2,136,3,0,0,product_mng,medium,1
E14552,0.74,0.84,5,249,5,0,0,product_mng,medium,1
E14553,0.45,0.55,2,151,3,0,0,IT,medium,1
E14554,0.12,1,3,278,4,0,0,RandD,medium,1
E14555,0.1,0.77,7,250,5,0,0,RandD,medium,1
E14556,0.37,0.55,2,127,3,0,0,RandD,medium,1
E14557,0.89,0.87,5,255,5,0,0,RandD,medium,1
E14558,0.45,0.47,2,135,3,0,0,RandD,medium,1
E14559,0.37,0.46,2,149,3,0,0,marketing,high,1
E14560,0.11,0.81,5,287,4,0,0,sales,low,1
E14561,0.41,0.48,2,145,3,0,0,accounting,medium,1
E14562,0.1,0.94,6,285,4,0,0,support,medium,1
E14563,0.1,0.93,7,305,4,0,0,technical,medium,1
E14564,0.11,0.95,7,300,4,0,0,management,medium,1
E14565,0.4,0.54,2,139,3,0,0,marketing,low,1
E14566,0.41,0.49,2,130,3,0,0,marketing,low,1
E14567,0.1,0.81,6,268,4,0,0,marketing,low,1
E14568,0.73,0.86,4,245,6,0,0,sales,low,1
E14569,0.43,0.47,2,135,3,0,0,sales,low,1
E14570,0.37,0.46,2,153,3,0,0,sales,low,1
E14571,0.11,0.94,6,276,4,0,0,sales,low,1
E14572,0.4,0.46,2,130,3,0,0,sales,low,1
E14573,0.41,0.54,2,153,3,1,0,sales,low,1
E14574,0.82,0.84,5,244,5,0,0,sales,low,1
E14575,0.61,0.47,2,253,3,0,0,sales,low,1
E14576,0.11,0.91,7,287,4,0,0,sales,low,1
E14577,0.37,0.45,2,131,3,0,0,sales,low,1
E14578,0.41,0.52,2,135,3,0,0,sales,low,1
E14579,0.37,0.52,2,157,3,0,0,sales,low,1
E14580,0.88,0.99,5,262,6,0,0,sales,low,1
E14581,0.1,0.85,6,266,4,0,0,sales,low,1
E14582,0.44,0.48,2,148,3,0,0,sales,low,1
E14583,0.38,0.57,2,140,3,0,0,sales,low,1
E14584,0.11,0.85,7,302,4,0,0,sales,low,1
E14585,0.09,0.98,6,271,4,0,0,sales,low,1
E14586,0.45,0.52,2,145,3,0,0,sales,medium,1
E14587,0.1,0.81,6,290,4,0,0,accounting,medium,1
E14588,0.45,0.47,2,151,3,0,0,accounting,medium,1
E14589,0.77,0.87,5,266,5,0,0,accounting,medium,1
E14590,0.44,0.51,2,140,3,0,0,hr,medium,1
E14591,0.39,0.5,2,142,3,0,0,hr,medium,1
E14592,0.1,0.91,6,246,4,0,0,hr,medium,1
E14593,0.09,0.89,7,308,5,0,0,hr,medium,1
E14594,0.37,0.47,2,141,3,0,0,technical,medium,1
E14595,0.9,1,5,232,5,0,0,technical,medium,1
E14596,0.41,0.56,2,143,3,0,0,technical,medium,1
E14597,0.37,0.52,2,155,3,0,0,technical,medium,1
E14598,0.1,0.86,6,278,4,0,0,technical,high,1
E14599,0.81,1,4,253,5,0,0,technical,low,1
E14600,0.11,0.8,6,282,4,0,0,technical,medium,1
E14601,0.11,0.84,7,264,4,0,0,technical,medium,1
E14602,0.4,0.46,2,149,3,0,0,technical,medium,1
E14603,0.09,0.8,6,304,5,0,0,technical,medium,1
E14604,0.48,0.93,3,219,6,0,0,technical,low,1
E14605,0.91,0.91,4,262,6,0,0,support,low,1
E14606,0.43,0.57,2,135,3,0,0,support,low,1
E14607,0.33,0.88,6,219,5,0,0,support,low,1
E14608,0.41,0.57,2,136,3,0,0,support,low,1
E14609,0.41,0.55,2,154,3,0,0,support,low,1
E14610,0.37,0.54,2,149,3,0,0,support,low,1
E14611,0.31,0.62,6,135,5,0,0,support,low,1
E14612,0.09,0.91,6,275,4,0,0,support,low,1
E14613,0.1,0.87,6,290,4,0,0,support,low,1
E14614,0.76,0.9,4,263,5,0,0,support,low,1
E14615,0.41,0.54,2,145,3,0,0,support,low,1
E14616,0.72,0.96,5,267,5,0,0,technical,low,1
E14617,0.4,0.5,2,141,3,1,0,technical,low,1
E14618,0.91,0.87,4,235,5,0,0,technical,low,1
E14619,0.1,0.83,6,258,4,0,0,management,low,1
E14620,0.4,0.56,2,131,3,0,0,IT,low,1
E14621,0.82,0.86,5,243,5,0,0,IT,low,1
E14622,0.1,0.82,6,266,4,0,0,IT,low,1
E14623,0.37,0.45,2,142,3,0,0,IT,low,1
E14624,0.36,0.51,2,135,3,0,0,IT,low,1
E14625,0.39,0.48,2,141,3,0,0,product_mng,medium,1
E14626,0.36,0.57,2,142,3,0,0,product_mng,medium,1
E14627,0.86,0.84,5,254,5,0,0,product_mng,medium,1
E14628,0.73,0.99,5,262,5,0,0,product_mng,medium,1
E14629,0.56,0.71,4,296,2,0,0,IT,medium,1
E14630,0.44,0.56,2,158,3,0,0,accounting,medium,1
E14631,0.31,0.56,4,238,2,0,0,accounting,medium,1
E14632,0.77,0.93,4,231,5,0,0,hr,medium,1
E14633,0.44,0.45,2,156,3,0,0,hr,medium,1
E14634,0.38,0.46,2,145,3,0,0,hr,medium,1
E14635,0.45,0.48,2,144,3,0,0,marketing,medium,1
E14636,0.38,0.51,2,159,3,0,0,sales,medium,1
E14637,0.36,0.48,2,156,3,0,0,accounting,high,1
E14638,0.75,0.9,5,256,5,0,0,support,low,1
E14639,0.1,0.93,6,298,4,0,0,technical,medium,1
E14640,0.1,0.97,6,247,4,0,0,management,medium,1
E14641,0.45,0.5,2,157,3,0,0,marketing,medium,1
E14642,0.42,0.57,2,154,3,1,0,marketing,medium,1
E14643,0.78,1,4,253,5,0,0,marketing,low,1
E14644,0.45,0.55,2,148,3,0,0,sales,low,1
E14645,0.84,1,4,261,5,0,0,sales,low,1
E14646,0.11,0.93,6,282,4,0,0,sales,low,1
E14647,0.42,0.56,2,133,3,0,0,sales,low,1
E14648,0.45,0.46,2,128,3,0,0,sales,low,1
E14649,0.46,0.57,2,139,3,0,0,sales,low,1
E14650,0.09,0.79,6,293,5,0,0,sales,low,1
E14651,0.87,0.83,4,265,6,0,0,sales,low,1
E14652,0.1,0.87,6,250,4,0,0,sales,low,1
E14653,0.91,1,5,251,6,0,0,sales,low,1
E14654,0.76,0.92,4,246,5,0,0,sales,low,1
E14655,0.74,1,5,275,5,0,0,sales,low,1
E14656,0.92,0.93,5,240,5,0,0,sales,low,1
E14657,0.76,0.87,5,245,5,0,0,sales,low,1
E14658,0.47,0.5,4,254,4,0,0,sales,low,1
E14659,0.73,0.99,5,241,5,0,0,sales,low,1
E14660,0.09,0.94,6,257,4,0,0,sales,low,1
E14661,0.91,0.92,4,246,5,0,0,sales,low,1
E14662,0.82,0.98,4,233,5,0,0,sales,low,1
E14663,0.28,0.45,6,218,4,0,0,accounting,low,1
E14664,0.84,0.99,4,262,6,0,0,accounting,medium,1
E14665,0.45,0.53,2,138,3,0,0,accounting,medium,1
E14666,0.45,0.54,2,142,3,0,0,hr,medium,1
E14667,0.91,0.97,5,233,5,0,0,hr,medium,1
E14668,0.42,0.48,2,155,3,0,0,hr,medium,1
E14669,0.82,1,4,229,6,0,0,hr,medium,1
E14670,0.11,0.9,6,264,4,0,0,technical,medium,1
E14671,0.42,0.53,3,199,4,0,0,technical,medium,1
E14672,0.82,0.85,4,223,5,0,0,technical,medium,1
E14673,0.09,0.96,6,268,4,0,0,technical,medium,1
E14674,0.1,0.94,6,287,4,0,0,technical,medium,1
E14675,0.86,1,5,257,5,0,0,technical,medium,1
E14676,0.4,0.46,2,143,3,0,0,technical,high,1
E14677,0.45,0.46,2,130,3,0,0,technical,low,1
E14678,0.42,0.51,2,136,3,0,0,technical,medium,1
E14679,0.74,0.92,4,261,5,0,0,technical,medium,1
E14680,0.55,0.6,3,180,4,0,0,technical,medium,1
E14681,0.37,0.45,2,126,3,0,0,support,medium,1
E14682,0.41,0.52,2,127,3,1,0,support,low,1
E14683,0.89,0.65,5,195,6,0,0,support,low,1
E14684,0.41,0.57,2,160,3,0,0,support,low,1
E14685,0.44,0.51,2,150,3,0,0,support,low,1
E14686,0.87,0.84,4,264,6,0,0,support,low,1
E14687,0.1,0.84,6,309,4,0,0,support,low,1
E14688,0.41,0.47,2,135,3,0,0,support,low,1
E14689,0.11,0.85,6,261,4,0,0,support,low,1
E14690,0.43,0.53,2,160,3,0,0,support,low,1
E14691,0.77,0.9,4,237,5,0,0,support,low,1
E14692,0.41,0.52,2,136,3,0,0,technical,low,1
E14693,0.41,0.48,2,139,3,0,0,technical,low,1
E14694,0.36,0.78,2,151,4,0,0,technical,low,1
E14695,0.77,1,5,229,5,0,0,management,low,1
E14696,0.81,0.98,5,245,5,0,0,IT,low,1
E14697,0.39,0.54,2,127,3,0,0,IT,low,1
E14698,0.09,0.94,6,283,5,0,0,IT,low,1
E14699,0.44,0.46,2,143,3,0,0,IT,low,1
E14700,0.1,0.84,5,298,4,0,0,IT,low,1
E14701,0.36,0.48,2,159,3,0,0,product_mng,low,1
E14702,0.81,0.92,5,239,5,0,0,product_mng,low,1
E14703,0.81,0.9,4,226,5,0,0,product_mng,medium,1
E14704,0.85,0.98,5,248,5,0,0,product_mng,medium,1
E14705,0.1,0.87,6,286,4,0,0,IT,medium,1
E14706,0.37,0.54,2,145,3,0,0,RandD,medium,1
E14707,0.09,0.97,7,254,4,1,0,RandD,medium,1
E14708,0.44,0.53,2,127,3,0,0,RandD,medium,1
E14709,0.86,0.93,5,223,5,0,0,RandD,medium,1
E14710,0.77,1,4,255,5,0,0,RandD,medium,1
E14711,0.41,0.48,2,136,3,0,0,marketing,medium,1
E14712,0.4,0.48,2,137,3,0,0,sales,medium,1
E14713,0.43,0.49,2,135,3,0,0,accounting,medium,1
E14714,0.43,0.5,2,137,3,0,0,support,medium,1
E14715,0.8,0.53,3,255,5,0,0,technical,high,1
E14716,0.8,0.85,4,273,5,0,0,management,low,1
E14717,0.82,0.98,5,234,5,0,0,marketing,medium,1
E14718,0.37,0.54,2,152,3,0,0,marketing,medium,1
E14719,0.37,0.48,2,134,3,0,0,marketing,medium,1
E14720,0.09,0.95,6,292,4,0,0,sales,medium,1
E14721,0.9,0.92,5,245,5,0,0,sales,low,1
E14722,0.41,0.52,2,159,3,0,0,sales,low,1
